label,area,filled_area,convex_area,major_axis_length,minor_axis_length,filename
24,30734.0,30790.0,32825.0,260.85437251123966,154.77861029144614,conta02_aug.tif
25,144102.0,144102.0,148560.0,482.87149990887735,390.31354211553617,conta02_aug.tif
26,69383.0,69852.0,102810.0,492.80318579516774,235.7868557737115,conta02_aug.tif
27,6.0,6.0,6.0,3.6514837167011076,2.10818510677892,conta02_aug.tif
28,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
29,725.0,725.0,782.0,53.6388527890242,18.85568883813651,conta02_aug.tif
30,3633.0,3633.0,4353.0,129.29551416710524,40.519996116745126,conta02_aug.tif
31,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
32,7994.0,7994.0,9184.0,140.62268793323204,81.54665634549822,conta02_aug.tif
33,20375.0,20375.0,22369.0,195.91314014942475,142.88853547149034,conta02_aug.tif
34,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
35,22191.0,22191.0,23446.0,187.01181000717906,156.4938398401801,conta02_aug.tif
36,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
37,51735.0,51735.0,54765.0,316.9746152032132,212.6390539388328,conta02_aug.tif
38,33086.0,33354.0,38965.0,301.49870506447905,158.80455157399865,conta02_aug.tif
39,32.0,32.0,32.0,12.549411903899676,3.210784307028596,conta02_aug.tif
40,4.0,4.0,4.0,3.23606797749979,1.2360679774997898,conta02_aug.tif
41,23.0,23.0,27.0,9.27489303031127,3.4161558938415273,conta02_aug.tif
42,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
43,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
44,4.0,4.0,5.0,3.4641016151377544,1.4142135623730951,conta02_aug.tif
45,2.0,2.0,2.0,2.0,0.0,conta02_aug.tif
46,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
47,45935.0,45935.0,48476.0,257.30121563664864,230.62266108794978,conta02_aug.tif
48,1601.0,1601.0,1658.0,55.212502045538066,40.002552996240475,conta02_aug.tif
49,6.0,6.0,7.0,3.8297084310253524,1.8856180831641265,conta02_aug.tif
50,115.0,115.0,171.0,22.195936368434314,9.69892674448857,conta02_aug.tif
51,24900.0,24900.0,28650.0,238.36602388677218,142.7415486747,conta02_aug.tif
52,21.0,21.0,30.0,10.099850992274567,3.062063011843319,conta02_aug.tif
53,31146.0,31146.0,32774.0,243.1251320450052,166.02336008884328,conta02_aug.tif
54,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
55,24523.0,24523.0,26926.0,200.64330403305297,161.3157118499422,conta02_aug.tif
56,14364.0,14364.0,16520.0,192.20731490944684,102.80925528036023,conta02_aug.tif
57,33819.0,33819.0,43578.0,311.73483338455435,162.17438608501638,conta02_aug.tif
58,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
59,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
60,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
61,4.0,4.0,5.0,5.495947704432125,0.8913802949063088,conta02_aug.tif
62,5.0,5.0,6.0,4.093338188813542,1.563516060678838,conta02_aug.tif
63,3.0,3.0,3.0,3.265986323710904,0.0,conta02_aug.tif
64,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
65,1.0,1.0,1.0,0.0,0.0,conta02_aug.tif
1,1.0,1.0,1.0,0.0,0.0,conta03.tif
2,1.0,1.0,1.0,0.0,0.0,conta03.tif
3,4609.0,4609.0,4959.0,88.5661004095828,68.88235630556763,conta03.tif
4,18672.0,18672.0,20354.0,179.3891313927547,145.08169310908386,conta03.tif
5,2.0,2.0,2.0,2.0,0.0,conta03.tif
6,195321.0,195353.0,314953.0,900.2497210134018,439.7271299377198,conta03.tif
7,27715.0,27715.0,28919.0,223.93021494273063,165.3951581680417,conta03.tif
8,43.0,43.0,57.0,12.756596882167212,4.973418652982491,conta03.tif
9,1.0,1.0,1.0,0.0,0.0,conta03.tif
10,22603.0,22664.0,29465.0,233.36534108131707,140.99060637749548,conta03.tif
11,1310.0,1311.0,2211.0,71.94019431447809,33.42913567886249,conta03.tif
12,6742.0,7046.0,8502.0,136.34591656449746,78.2283788696193,conta03.tif
13,2.0,2.0,2.0,2.0,0.0,conta03.tif
14,3.0,3.0,3.0,3.265986323710904,0.0,conta03.tif
15,45022.0,45086.0,46568.0,270.69102869241686,213.8674727230952,conta03.tif
16,5022.0,5023.0,6237.0,90.56030337751935,81.85425737814104,conta03.tif
17,35163.0,35163.0,36382.0,246.92131544193757,184.47325328627315,conta03.tif
18,1.0,1.0,1.0,0.0,0.0,conta03.tif
19,4779.0,4779.0,7105.0,160.42796035227408,47.01143206379527,conta03.tif
20,1.0,1.0,1.0,0.0,0.0,conta03.tif
21,1.0,1.0,1.0,0.0,0.0,conta03.tif
22,3.0,3.0,3.0,3.265986323710904,0.0,conta03.tif
23,6671.0,6671.0,7048.0,105.57148380281201,86.93049879814531,conta03.tif
24,210926.0,211599.0,294033.0,647.7203443038281,541.4960459523039,conta03.tif
25,38170.0,38170.0,40807.0,258.5322508178278,194.89906335424044,conta03.tif
26,3.0,3.0,4.0,3.677088528342677,0.8374020402130087,conta03.tif
27,81.0,81.0,177.0,36.928833379670635,6.540532425477341,conta03.tif
28,2.0,2.0,2.0,2.0,0.0,conta03.tif
29,5757.0,5757.0,6645.0,112.44241589868223,69.1411492197767,conta03.tif
30,9.0,9.0,10.0,5.971098560847527,1.8593259767334247,conta03.tif
31,2.0,2.0,2.0,2.0,0.0,conta03.tif
32,115.0,115.0,206.0,36.7914856930735,5.660692757971256,conta03.tif
33,34775.0,35069.0,35957.0,260.74231329489874,173.19456781594118,conta03.tif
34,14.0,14.0,17.0,6.773117776842033,2.7259856987897084,conta03.tif
35,536.0,536.0,682.0,47.56388747315087,18.709750266157286,conta03.tif
36,1.0,1.0,1.0,0.0,0.0,conta03.tif
37,3.0,3.0,3.0,3.265986323710904,0.0,conta03.tif
38,9.0,9.0,10.0,4.277662731533559,2.643019518000728,conta03.tif
39,8.0,8.0,9.0,5.321869122843981,1.7826129808008924,conta03.tif
40,2.0,2.0,2.0,2.0,0.0,conta03.tif
41,1290.0,1394.0,1527.0,59.788538600108275,33.206072575256925,conta03.tif
42,1.0,1.0,1.0,0.0,0.0,conta03.tif
43,9346.0,9346.0,10783.0,215.10020252318793,61.03821952106939,conta03.tif
44,15358.0,15526.0,17671.0,210.33894861068663,105.64844259120486,conta03.tif
45,1.0,1.0,1.0,0.0,0.0,conta03.tif
46,1.0,1.0,1.0,0.0,0.0,conta03.tif
47,1.0,1.0,1.0,0.0,0.0,conta03.tif
48,5708.0,5708.0,6188.0,156.6753908684839,50.975908271912566,conta03.tif
49,75.0,75.0,88.0,19.724709425191378,5.552722483670098,conta03.tif
50,6.0,6.0,8.0,5.033222956847166,2.3094010767585034,conta03.tif
51,2.0,2.0,2.0,2.0,0.0,conta03.tif
52,1.0,1.0,1.0,0.0,0.0,conta03.tif
53,1.0,1.0,1.0,0.0,0.0,conta03.tif
54,49.0,49.0,66.0,17.774395241258937,4.201414252472751,conta03.tif
55,3.0,3.0,3.0,3.265986323710904,0.0,conta03.tif
56,4.0,4.0,4.0,2.8284271247461903,1.7320508075688772,conta03.tif
1,22.0,22.0,28.0,12.306054555416779,2.2191569666750293,conta03_aug.tif
2,66.0,66.0,99.0,15.613097701890618,6.867482044228581,conta03_aug.tif
3,27437.0,27449.0,30838.0,290.052773004227,126.59284197769114,conta03_aug.tif
4,37.0,37.0,44.0,9.610975645301002,5.786075729396184,conta03_aug.tif
5,17.0,17.0,20.0,6.800566488096856,3.415015379621314,conta03_aug.tif
6,11.0,11.0,12.0,10.191038354739295,1.388474421505414,conta03_aug.tif
7,21.0,21.0,26.0,6.976705807672368,4.713703438854827,conta03_aug.tif
8,2.0,2.0,2.0,2.0,0.0,conta03_aug.tif
9,137469.0,137478.0,141834.0,467.6826920183213,377.7660650989357,conta03_aug.tif
10,77306.0,79676.0,120157.0,546.0105857634472,243.93983673449046,conta03_aug.tif
11,5423.0,5423.0,6556.0,108.54042343278927,73.27800427752855,conta03_aug.tif
12,2.0,2.0,2.0,2.8284271247461903,0.0,conta03_aug.tif
13,9.0,9.0,10.0,4.708788181923399,2.504347879633133,conta03_aug.tif
14,227.0,236.0,297.0,29.028189027252928,11.572020640214335,conta03_aug.tif
15,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
16,9138.0,9142.0,10925.0,220.19578391304992,60.44754537927637,conta03_aug.tif
17,130837.0,131072.0,183245.0,574.7333926506244,390.7797740781141,conta03_aug.tif
18,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
19,34476.0,34476.0,36215.0,262.36148415871367,172.65285552098817,conta03_aug.tif
20,73182.0,73455.0,87601.0,552.0043243648158,193.28475790570926,conta03_aug.tif
21,7375.0,7375.0,10665.0,190.83237119574846,68.98992339682158,conta03_aug.tif
22,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
23,1471.0,1474.0,1749.0,47.993234925135226,41.49611341777036,conta03_aug.tif
24,32.0,32.0,36.0,11.840307229719308,3.556806813119979,conta03_aug.tif
25,38270.0,38270.0,41314.0,258.83936792207066,195.48048321414475,conta03_aug.tif
26,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
27,31890.0,31890.0,34154.0,244.3649936233231,173.88680296678368,conta03_aug.tif
28,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
29,6748.0,6748.0,7168.0,106.74469249546055,87.34785050099504,conta03_aug.tif
30,88151.0,88151.0,104828.0,428.8433956049289,290.90559712185404,conta03_aug.tif
31,45167.0,45167.0,46684.0,272.1182539919778,212.9453613957958,conta03_aug.tif
32,35494.0,35494.0,36693.0,248.8858175780079,184.463671702632,conta03_aug.tif
33,6568.0,6568.0,9035.0,155.09894642038802,69.06473577812856,conta03_aug.tif
34,133.0,133.0,193.0,18.86469086442823,13.308677418725281,conta03_aug.tif
35,23903.0,23966.0,31638.0,234.90479921614832,143.72002715018309,conta03_aug.tif
36,6953.0,6953.0,8874.0,142.19863478947872,72.80711447634324,conta03_aug.tif
37,7236.0,7277.0,8663.0,138.45261761468166,77.8777210601831,conta03_aug.tif
38,2.0,2.0,2.0,2.0,0.0,conta03_aug.tif
39,18501.0,18501.0,20055.0,179.5076998092337,144.2737127773641,conta03_aug.tif
40,2.0,2.0,2.0,2.0,0.0,conta03_aug.tif
41,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
42,86.0,86.0,106.0,14.8363193111333,8.03739336070517,conta03_aug.tif
43,99.0,99.0,124.0,23.97418860216357,5.934654114250443,conta03_aug.tif
44,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
45,349.0,349.0,450.0,38.706621600512854,13.45184489272165,conta03_aug.tif
46,2.0,2.0,2.0,2.0,0.0,conta03_aug.tif
47,425.0,425.0,651.0,38.43342502428088,20.05993045254921,conta03_aug.tif
48,55.0,55.0,75.0,16.465956424051765,5.23430022791386,conta03_aug.tif
49,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
50,2.0,2.0,2.0,2.0,0.0,conta03_aug.tif
51,2.0,2.0,2.0,2.8284271247461903,0.0,conta03_aug.tif
52,31.0,31.0,55.0,13.24619186816459,5.039428653951106,conta03_aug.tif
53,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
54,38.0,38.0,44.0,8.955844399857423,6.2817546205851835,conta03_aug.tif
55,2845.0,2847.0,3185.0,66.63663981700019,57.556988291232024,conta03_aug.tif
56,9.0,9.0,9.0,4.312594463574638,2.660928660904759,conta03_aug.tif
57,4.0,4.0,5.0,4.199929796800163,1.1664431841929324,conta03_aug.tif
58,16.0,16.0,25.0,11.388391270811518,1.9980100757764083,conta03_aug.tif
59,2.0,2.0,2.0,2.0,0.0,conta03_aug.tif
60,1084.0,1084.0,1206.0,47.5569473055285,31.0486665113528,conta03_aug.tif
61,1.0,1.0,1.0,0.0,0.0,conta03_aug.tif
1,19510.0,19515.0,20854.0,188.64237813959733,134.2506794834996,conta04.tif
2,14465.0,14468.0,16096.0,176.43877762053935,117.81386295718535,conta04.tif
3,179225.0,179297.0,202860.0,525.7898901448743,452.65735644027274,conta04.tif
4,62503.0,62720.0,71664.0,402.61916469513466,218.16935952133477,conta04.tif
5,18565.0,18565.0,19706.0,180.4918697540298,136.1639789054216,conta04.tif
6,137.0,139.0,184.0,16.706674316927746,12.676814314029532,conta04.tif
7,2.0,2.0,2.0,2.0,0.0,conta04.tif
8,6.0,6.0,7.0,5.545131758410893,1.3022896092295921,conta04.tif
9,1.0,1.0,1.0,0.0,0.0,conta04.tif
10,50931.0,50931.0,53013.0,325.0762755829343,205.14660923553723,conta04.tif
